patient_key,heatmap_mse,heatmap_mae,heatmap_soft_dice,heatmap_corr,target_mask_pixels,pred_mask_fixed_pixels,dice_fixed_thresh,iou_fixed_thresh,dice_topk_same_area,iou_topk_same_area
S_55,0.08833331614732742,0.292386531829834,0.042631231248378754,-0.23183757071267252,3384,0,2.9550827423080527e-12,2.9550827423080527e-12,0.04949480158288257,0.025375375376838778
S_56,0.09857252985239029,0.3099331855773926,0.036597829312086105,-0.33691212179880703,2844,0,3.5161744022379885e-12,3.5161744022379885e-12,0.13189113747534562,0.07060141950117557
S_57,0.09296994656324387,0.2997623682022095,0.05141020938754082,-0.22554684534344785,4161,0,2.4032684450795404e-12,2.4032684450795404e-12,0.1384855394226107,0.07439401753600516
S_58,0.09781059622764587,0.3089115619659424,0.037182752043008804,-0.18298104125381745,2491,0,4.014452027282158e-12,4.014452027282158e-12,0.07590890931067537,0.039451827244519413
S_59,0.09360958635807037,0.2994665205478668,0.058114971965551376,-0.26470044505320145,4226,0,2.366303833406611e-12,2.366303833406611e-12,0.09413707679710494,0.04939341421261526
S_60,0.09791237115859985,0.30940893292427063,0.03601139038801193,-0.3169155226286296,2708,0,3.692762186101578e-12,3.692762186101578e-12,0.13183575768894892,0.07056968263538228
S_61,0.09114646166563034,0.295884907245636,0.048806384205818176,-0.25741293522859376,3585,0,2.7894002789322474e-12,2.7894002789322474e-12,0.05249343832151887,0.026954177898954528
S_62,0.10092030465602875,0.31360554695129395,0.040788084268569946,-0.35847675126034345,2880,0,3.472222222210166e-12,3.472222222210166e-12,0.09380927746319398,0.049212954588295256
S_63,0.08700112253427505,0.2902614176273346,0.047135256230831146,-0.14340359316764686,3592,0,2.7839643652483745e-12,2.7839643652483745e-12,0.05584108904145598,0.02872249214199954
S_64,0.09925822913646698,0.3116661608219147,0.04012344777584076,-0.08090102901400349,2491,0,4.014452027282158e-12,4.014452027282158e-12,0.18532511433846624,0.10212579443545447
S_65,0.08989068120718002,0.2950194478034973,0.049435533583164215,-0.11978052465218404,3740,0,2.673796791436701e-12,2.673796791436701e-12,0.13539034446184947,0.07261055634939713
S_66,0.09545502066612244,0.30462050437927246,0.0487968772649765,-0.2089754747965184,3817,0,2.619858527632644e-12,2.619858527632644e-12,0.09315638823953531,0.04885371179169098
S_67,0.0951395109295845,0.30365291237831116,0.05114615336060524,-0.10021251666162151,3461,0,2.889338341511444e-12,2.889338341511444e-12,0.1817131301470725,0.09993644741166201
S_68,0.10161881893873215,0.31489241123199463,0.037695590406656265,-0.4052874076938688,2694,0,3.711952486994388e-12,3.711952486994388e-12,0.07491192286468587,0.03891350414363531
S_69,0.0917392373085022,0.2977076470851898,0.050968483090400696,-0.09573505329529931,3452,0,2.896871378902385e-12,2.896871378902385e-12,0.20101229211973823,0.11173633440657277
S_70,0.09803949296474457,0.30984389781951904,0.03938626870512962,-0.15413458563789942,2877,0,3.475842891889205e-12,3.475842891889205e-12,0.106301939059719,0.05613457670679076
S_71,0.08568938076496124,0.2881236672401428,0.04068538919091225,-0.1979716274144517,3249,0,3.0778701138717213e-12,3.0778701138717213e-12,0.05298621745933693,0.027214094700287537
S_72,0.09884342551231384,0.31136518716812134,0.03218447044491768,-0.2369305425580974,2329,0,4.2936882782125646e-12,4.2936882782125646e-12,0.13299123369866797,0.07123224920047817
S_73,0.09388589859008789,0.30007466673851013,0.05815749242901802,-0.2522787422016919,4354,0,2.296738631138501e-12,2.296738631138501e-12,0.06659038901708628,0.034441945793544274
